Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
0.9375207,0,5.313787,2.478363,-1.344274,-4.179698,5.31378697846154,2.47836297846154
0.9414271,0,0.2084353,2.290903,-7.5717437,-5.489276,0.2084353,2.290903
0.9453334,0,7.322502,-2.311886,-0.831568000000001,-10.465956,7.32250206461539,-2.31188593538462
0.9492397,0,1.176477,7.804699,-5.33253,1.295692,1.17647708292308,7.80469908292308
0.953146,0,2.451389,3.940711,-2.412063,-0.922741,2.45138894738462,3.94071094738462
0.9570524,0,3.564312,1.330022,1.173548,-1.060742,3.56431192292308,1.33002192292308
0.9609587,0,5.352053,3.117105,2.860341,0.625393,5.35205305630769,3.11710505630769
0.964865,0,0.6554359,-0.2230837,0.318639,-0.5598806,0.655435927076923,-0.223083672923077
0.9687714,0,-4.014061,3.065187,-5.110722,1.968526,-4.01406106076923,3.06518693923077
0.9726777,0,2.429499,2.611635,1.11613,1.298266,2.42949896892308,2.61163496892308
0.9765841,0,0.8920268,-4.847398,4.0704458,-1.668979,0.892026785846154,-4.84739801415385
0.9804904,0,2.04832,-6.584231,2.7890682,-5.8434828,2.04832001076923,-6.58423098923077
0.9843967,0,-1.198341,-1.53161,-0.6687402,-1.0020092,-1.19834105430769,-1.53161005430769
0.9883031,0,1.665135,-2.189522,4.09816,0.243503,1.66513498153846,-2.18952201846154
0.9922094,0,1.869729,-4.014702,5.075305,-0.809126,1.86972898430769,-4.01470201569231
0.9961157,0,-2.909371,1.538503,0.516881,4.964755,-2.90937092184615,1.53850307815385
1.000022,0,-7.585065,-4.203624,-4.090338,-0.708896999999999,-7.58506503907692,-4.20362403907692
1.003928,0,1.886512,-0.9499549,6.346584,3.5101171,1.88651200923077,-0.949954890769231
1.007835,0,-4.547129,-0.04656862,-1.263943,3.23661738,-4.54712903046154,-0.0465686504615385
1.011741,0,-12.04989,-3.117874,-7.489898,1.442118,-12.0498899384615,-3.11787393846154
1.015647,0,-4.926339,-5.194403,-1.418051,-1.686115,-4.92633897107692,-5.19440297107692
1.019554,0,-5.550926,-4.34396,-4.526272,-3.319306,-5.55092597615385,-4.34395997615385
1.02346,0,-7.314234,-2.058607,-6.3402993,-1.0846723,-7.31423400061538,-2.05860700061538
1.027366,0,-2.991582,-4.365399,-0.693715,-2.067532,-2.99158204613846,-4.36539904613846
1.031273,0,-5.565986,-5.89476,-5.4050421,-5.7338161,-5.56598600092308,-5.89476000092308
1.035179,0,-5.263961,-3.778268,-2.761172,-1.275479,-5.263960948,-3.778267948
1.039085,0,-2.487693,-5.563138,-3.062248,-6.137693,-2.48769291076923,-5.56313791076923
1.042992,0,-1.909286,-4.491796,-1.114469,-3.696979,-1.90928603923077,-4.49179603923077
